run_name,animal,arts and crafts item,bird,body part,breakfast food,candy,car part,clothing accessory,condiment,construction equipment,container,dessert,drink,electronic device,farm animal,fastener,food,footwear,fruit,furniture,game,garden tool,hardware item,headwear,home appliance,home decor item,insect,item of clothing,kitchen appliance,kitchen tool,mammal,medical equipment,musical,office supply item,outerwear,personal hygiene item,piece of jewelry,piece of women's clothing,plant,protective clothing item,safety equipment,school supply,scientific equipment,sea animal,seafood,source of light,sports equipment,tool,toy,vegetable,vehicle,watercraft,weapon
align-dinov2+1b-things+hyp-abl10-218,144,70,38,23,52,46,39,53,32,50,77,65,35,75,39,41,176,26,52,52,34,33,61,39,56,44,53,89,41,46,88,53,40,51,34,41,26,29,33,34,27,45,46,58,64,22,48,104,45,50,57,33,45
align-dinov2+1b-things+hyp-abl10-218-random,144,70,38,23,52,46,39,53,32,50,77,65,35,75,39,41,176,26,52,52,34,33,61,39,56,44,53,89,41,46,88,53,40,51,34,41,26,29,33,34,27,45,46,58,64,22,48,104,45,50,57,33,45
align-dinov2+1b-things+hyp-abl10-42,144,70,38,23,52,46,39,53,32,50,77,65,35,75,39,41,176,26,52,52,34,33,61,39,56,44,53,89,41,46,88,53,40,51,34,41,26,29,33,34,27,45,46,58,64,22,48,104,45,50,57,33,45
align-dinov2+1b-things+hyp-abl10-42-random,144,70,38,23,52,46,39,53,32,50,77,65,35,75,39,41,176,26,52,52,34,33,61,39,56,44,53,89,41,46,88,53,40,51,34,41,26,29,33,34,27,45,46,58,64,22,48,104,45,50,57,33,45
align-dinov2+1b-things+hyp-abl10-7,144,70,38,23,52,46,39,53,32,50,77,65,35,75,39,41,176,26,52,52,34,33,61,39,56,44,53,89,41,46,88,53,40,51,34,41,26,29,33,34,27,45,46,58,64,22,48,104,45,50,57,33,45
align-dinov2+1b-things+hyp-abl10-7-random,144,70,38,23,52,46,39,53,32,50,77,65,35,75,39,41,176,26,52,52,34,33,61,39,56,44,53,89,41,46,88,53,40,51,34,41,26,29,33,34,27,45,46,58,64,22,48,104,45,50,57,33,45
align-dinov2+1b-things+hyp-abl10-local-shuffled-218,143,66,44,31,57,37,40,68,34,59,74,50,25,49,36,35,173,39,46,43,37,44,73,45,41,49,46,91,38,48,76,49,44,47,34,37,31,36,37,39,32,36,50,57,62,38,58,110,38,48,49,36,65
align-dinov2+1b-things+hyp-abl10-local-shuffled-42,143,66,44,31,57,37,40,68,34,59,74,50,25,49,36,35,173,39,46,43,37,44,73,45,41,49,46,91,38,48,76,49,44,47,34,37,31,36,37,39,32,36,50,57,62,38,58,110,38,48,49,36,65
align-dinov2+1b-things+hyp-abl10-local-shuffled-7,143,66,44,31,57,37,40,68,34,59,74,50,25,49,36,35,173,39,46,43,37,44,73,45,41,49,46,91,38,48,76,49,44,47,34,37,31,36,37,39,32,36,50,57,62,38,58,110,38,48,49,36,65
align-dinov2+1b-things+hyp-abl10-shuffled-218,139,66,40,30,49,45,36,56,36,48,77,57,32,71,35,43,193,30,55,44,42,42,78,45,54,31,57,93,45,33,75,49,52,51,26,37,31,35,47,35,33,48,50,54,66,42,50,103,40,63,55,31,55
align-dinov2+1b-things+hyp-abl10-shuffled-42,139,66,40,30,49,45,36,56,36,48,77,57,32,71,35,43,193,30,55,44,42,42,78,45,54,31,57,93,45,33,75,49,52,51,26,37,31,35,47,35,33,48,50,54,66,42,50,103,40,63,55,31,55
align-dinov2+1b-things+hyp-abl10-shuffled-7,139,66,40,30,49,45,36,56,36,48,77,57,32,71,35,43,193,30,55,44,42,42,78,45,54,31,57,93,45,33,75,49,52,51,26,37,31,35,47,35,33,48,50,54,66,42,50,103,40,63,55,31,55
