model,hypernym,backbone_acc,backbone_f1,shuffle_type,category,avg_cosine
Qwen3-0.6B,animal,0.9790609137055838,0.9457431060006198,original,animal,0.2051288
Qwen3-0.6B,animal,0.9790609137055838,0.9457431060006198,shuffled,animal,0.090857334
Qwen3-0.6B,animal,0.9790609137055838,0.9457431060006198,local_shuffled,animal,0.20254579
Qwen3-0.6B,arts and crafts supply,0.8617021276595744,0.7648140623997605,original,arts and crafts item,0.24844842
Qwen3-0.6B,arts and crafts supply,0.8617021276595744,0.7648140623997605,shuffled,arts and crafts item,0.10601016
Qwen3-0.6B,arts and crafts supply,0.8617021276595744,0.7648140623997605,local_shuffled,arts and crafts item,0.22475216
Qwen3-0.6B,bird,0.950530035335689,0.8517659383418137,original,bird,0.300626
Qwen3-0.6B,bird,0.950530035335689,0.8517659383418137,shuffled,bird,0.11928343
Qwen3-0.6B,bird,0.950530035335689,0.8517659383418137,local_shuffled,bird,0.300626
Qwen3-0.6B,body part,0.9259259259259259,0.8928571428571428,original,body part,0.202576
Qwen3-0.6B,body part,0.9259259259259259,0.8928571428571428,shuffled,body part,0.15639178
Qwen3-0.6B,body part,0.9259259259259259,0.8928571428571428,local_shuffled,body part,0.20257601
Qwen3-0.6B,breakfast food,0.8984375,0.7991308546595848,original,breakfast food,0.35988823
Qwen3-0.6B,breakfast food,0.8984375,0.7991308546595848,shuffled,breakfast food,0.09803817
Qwen3-0.6B,breakfast food,0.8984375,0.7991308546595848,local_shuffled,breakfast food,0.3598882
Qwen3-0.6B,candy,0.8636363636363636,0.7779439252336449,original,candy,0.36110884
Qwen3-0.6B,candy,0.8636363636363636,0.7779439252336449,shuffled,candy,0.13753448
Qwen3-0.6B,candy,0.8636363636363636,0.7779439252336449,local_shuffled,candy,0.3611088
Qwen3-0.6B,clothing,0.8010012515644556,0.691517027863777,original,item of clothing,0.2369512
Qwen3-0.6B,clothing,0.8010012515644556,0.691517027863777,shuffled,item of clothing,0.10755572
Qwen3-0.6B,clothing,0.8010012515644556,0.691517027863777,local_shuffled,item of clothing,0.23520032
Qwen3-0.6B,clothing accessory,0.8018575851393189,0.6766362157427105,original,clothing accessory,0.2317462
Qwen3-0.6B,clothing accessory,0.8018575851393189,0.6766362157427105,shuffled,clothing accessory,0.114947446
Qwen3-0.6B,clothing accessory,0.8018575851393189,0.6766362157427105,local_shuffled,clothing accessory,0.2295899
Qwen3-0.6B,condiment,0.9104477611940298,0.8074712643678159,original,condiment,0.44059435
Qwen3-0.6B,condiment,0.9104477611940298,0.8074712643678159,shuffled,condiment,0.23226248
Qwen3-0.6B,condiment,0.9104477611940298,0.8074712643678159,local_shuffled,condiment,0.44059435
Qwen3-0.6B,construction equipment,0.8374558303886925,0.6846414728682171,original,construction equipment,0.18503499
Qwen3-0.6B,construction equipment,0.8374558303886925,0.6846414728682171,shuffled,construction equipment,0.11658626
Qwen3-0.6B,construction equipment,0.8374558303886925,0.6846414728682171,local_shuffled,construction equipment,0.18582436
Qwen3-0.6B,container,0.829136690647482,0.7609165018309214,original,container,0.19905068
Qwen3-0.6B,container,0.829136690647482,0.7609165018309214,shuffled,container,0.1040496
Qwen3-0.6B,container,0.829136690647482,0.7609165018309214,local_shuffled,container,0.19243497
Qwen3-0.6B,dessert,0.9059561128526645,0.809483994266603,original,dessert,0.37246186
Qwen3-0.6B,dessert,0.9059561128526645,0.809483994266603,shuffled,dessert,0.11260643
Qwen3-0.6B,dessert,0.9059561128526645,0.809483994266603,local_shuffled,dessert,0.3717235
Qwen3-0.6B,drink,0.9333333333333333,0.9028749028749028,original,drink,0.41713497
Qwen3-0.6B,drink,0.9333333333333333,0.9028749028749028,shuffled,drink,0.15769655
Qwen3-0.6B,drink,0.9333333333333333,0.9028749028749028,local_shuffled,drink,0.41713497
Qwen3-0.6B,electronic device,0.8984674329501916,0.7970555225457188,original,electronic device,0.28890124
Qwen3-0.6B,electronic device,0.8984674329501916,0.7970555225457188,shuffled,electronic device,0.10897642
Qwen3-0.6B,electronic device,0.8984674329501916,0.7970555225457188,local_shuffled,electronic device,0.2786257
Qwen3-0.6B,farm animal,0.9306930693069307,0.7624327956989247,original,farm animal,0.34861273
Qwen3-0.6B,farm animal,0.9306930693069307,0.7624327956989247,shuffled,farm animal,0.12287014
Qwen3-0.6B,farm animal,0.9306930693069307,0.7624327956989247,local_shuffled,farm animal,0.34861273
