Relation,Count,Correct,Accuracy,step,epoch,loss,file
right,236,120,51.27%,50,0,0.5627,evaluation_step-000050-epoch-00-loss=0.5627.pt_summary.csv
left,254,127,50.00%,50,0,0.5627,evaluation_step-000050-epoch-00-loss=0.5627.pt_summary.csv
behind,249,114,45.78%,50,0,0.5627,evaluation_step-000050-epoch-00-loss=0.5627.pt_summary.csv
in front of,261,139,53.26%,50,0,0.5627,evaluation_step-000050-epoch-00-loss=0.5627.pt_summary.csv
right,236,117,49.58%,100,0,0.3094,evaluation_step-000100-epoch-00-loss=0.3094.pt_summary.csv
left,254,118,46.46%,100,0,0.3094,evaluation_step-000100-epoch-00-loss=0.3094.pt_summary.csv
behind,249,125,50.20%,100,0,0.3094,evaluation_step-000100-epoch-00-loss=0.3094.pt_summary.csv
in front of,261,126,48.28%,100,0,0.3094,evaluation_step-000100-epoch-00-loss=0.3094.pt_summary.csv
right,236,113,47.88%,150,0,0.4067,evaluation_step-000150-epoch-00-loss=0.4067.pt_summary.csv
behind,249,116,46.59%,150,0,0.4067,evaluation_step-000150-epoch-00-loss=0.4067.pt_summary.csv
in front of,261,136,52.11%,150,0,0.4067,evaluation_step-000150-epoch-00-loss=0.4067.pt_summary.csv
left,254,124,48.82%,150,0,0.4067,evaluation_step-000150-epoch-00-loss=0.4067.pt_summary.csv
left,254,130,51.18%,200,0,0.3353,evaluation_step-000200-epoch-00-loss=0.3353.pt_summary.csv
right,236,123,52.12%,200,0,0.3353,evaluation_step-000200-epoch-00-loss=0.3353.pt_summary.csv
behind,249,133,53.41%,200,0,0.3353,evaluation_step-000200-epoch-00-loss=0.3353.pt_summary.csv
in front of,261,126,48.28%,200,0,0.3353,evaluation_step-000200-epoch-00-loss=0.3353.pt_summary.csv
left,254,126,49.61%,250,0,0.3505,evaluation_step-000250-epoch-00-loss=0.3505.pt_summary.csv
behind,249,122,49.00%,250,0,0.3505,evaluation_step-000250-epoch-00-loss=0.3505.pt_summary.csv
in front of,261,136,52.11%,250,0,0.3505,evaluation_step-000250-epoch-00-loss=0.3505.pt_summary.csv
right,236,113,47.88%,250,0,0.3505,evaluation_step-000250-epoch-00-loss=0.3505.pt_summary.csv
behind,249,116,46.59%,300,0,0.3593,evaluation_step-000300-epoch-00-loss=0.3593.pt_summary.csv
left,254,125,49.21%,300,0,0.3593,evaluation_step-000300-epoch-00-loss=0.3593.pt_summary.csv
right,236,114,48.31%,300,0,0.3593,evaluation_step-000300-epoch-00-loss=0.3593.pt_summary.csv
in front of,261,130,49.81%,300,0,0.3593,evaluation_step-000300-epoch-00-loss=0.3593.pt_summary.csv
right,236,124,52.54%,350,0,0.3503,evaluation_step-000350-epoch-00-loss=0.3503.pt_summary.csv
left,254,129,50.79%,350,0,0.3503,evaluation_step-000350-epoch-00-loss=0.3503.pt_summary.csv
behind,249,135,54.22%,350,0,0.3503,evaluation_step-000350-epoch-00-loss=0.3503.pt_summary.csv
in front of,261,126,48.28%,350,0,0.3503,evaluation_step-000350-epoch-00-loss=0.3503.pt_summary.csv
in front of,261,126,48.28%,400,0,0.3559,evaluation_step-000400-epoch-00-loss=0.3559.pt_summary.csv
behind,249,120,48.19%,400,0,0.3559,evaluation_step-000400-epoch-00-loss=0.3559.pt_summary.csv
left,254,125,49.21%,400,0,0.3559,evaluation_step-000400-epoch-00-loss=0.3559.pt_summary.csv
right,236,123,52.12%,400,0,0.3559,evaluation_step-000400-epoch-00-loss=0.3559.pt_summary.csv
left,254,124,48.82%,450,0,0.3454,evaluation_step-000450-epoch-00-loss=0.3454.pt_summary.csv
right,236,113,47.88%,450,0,0.3454,evaluation_step-000450-epoch-00-loss=0.3454.pt_summary.csv
behind,249,116,46.59%,450,0,0.3454,evaluation_step-000450-epoch-00-loss=0.3454.pt_summary.csv
in front of,261,136,52.11%,450,0,0.3454,evaluation_step-000450-epoch-00-loss=0.3454.pt_summary.csv
left,254,130,51.18%,500,0,0.3695,evaluation_step-000500-epoch-00-loss=0.3695.pt_summary.csv
in front of,261,125,47.89%,500,0,0.3695,evaluation_step-000500-epoch-00-loss=0.3695.pt_summary.csv
behind,249,133,53.41%,500,0,0.3695,evaluation_step-000500-epoch-00-loss=0.3695.pt_summary.csv
right,236,123,52.12%,500,0,0.3695,evaluation_step-000500-epoch-00-loss=0.3695.pt_summary.csv
left,254,124,48.82%,550,0,0.3564,evaluation_step-000550-epoch-00-loss=0.3564.pt_summary.csv
behind,249,116,46.59%,550,0,0.3564,evaluation_step-000550-epoch-00-loss=0.3564.pt_summary.csv
in front of,261,136,52.11%,550,0,0.3564,evaluation_step-000550-epoch-00-loss=0.3564.pt_summary.csv
right,236,113,47.88%,550,0,0.3564,evaluation_step-000550-epoch-00-loss=0.3564.pt_summary.csv
right,236,111,47.03%,600,0,0.3439,evaluation_step-000600-epoch-00-loss=0.3439.pt_summary.csv
left,254,121,47.64%,600,0,0.3439,evaluation_step-000600-epoch-00-loss=0.3439.pt_summary.csv
behind,249,117,46.99%,600,0,0.3439,evaluation_step-000600-epoch-00-loss=0.3439.pt_summary.csv
in front of,261,131,50.19%,600,0,0.3439,evaluation_step-000600-epoch-00-loss=0.3439.pt_summary.csv
in front of,261,135,51.72%,650,0,0.3535,evaluation_step-000650-epoch-00-loss=0.3535.pt_summary.csv
behind,249,117,46.99%,650,0,0.3535,evaluation_step-000650-epoch-00-loss=0.3535.pt_summary.csv
left,254,129,50.79%,650,0,0.3535,evaluation_step-000650-epoch-00-loss=0.3535.pt_summary.csv
right,236,110,46.61%,650,0,0.3535,evaluation_step-000650-epoch-00-loss=0.3535.pt_summary.csv
in front of,261,136,52.11%,700,0,0.3604,evaluation_step-000700-epoch-00-loss=0.3604.pt_summary.csv
behind,249,116,46.59%,700,0,0.3604,evaluation_step-000700-epoch-00-loss=0.3604.pt_summary.csv
left,254,124,48.82%,700,0,0.3604,evaluation_step-000700-epoch-00-loss=0.3604.pt_summary.csv
right,236,113,47.88%,700,0,0.3604,evaluation_step-000700-epoch-00-loss=0.3604.pt_summary.csv
behind,249,115,46.18%,750,0,0.3488,evaluation_step-000750-epoch-00-loss=0.3488.pt_summary.csv
right,236,117,49.58%,750,0,0.3488,evaluation_step-000750-epoch-00-loss=0.3488.pt_summary.csv
left,254,126,49.61%,750,0,0.3488,evaluation_step-000750-epoch-00-loss=0.3488.pt_summary.csv
in front of,261,137,52.49%,750,0,0.3488,evaluation_step-000750-epoch-00-loss=0.3488.pt_summary.csv
in front of,261,134,51.34%,800,0,0.3453,evaluation_step-000800-epoch-00-loss=0.3453.pt_summary.csv
left,254,124,48.82%,800,0,0.3453,evaluation_step-000800-epoch-00-loss=0.3453.pt_summary.csv
right,236,110,46.61%,800,0,0.3453,evaluation_step-000800-epoch-00-loss=0.3453.pt_summary.csv
behind,249,115,46.18%,800,0,0.3453,evaluation_step-000800-epoch-00-loss=0.3453.pt_summary.csv
right,236,113,47.88%,850,0,0.3473,evaluation_step-000850-epoch-00-loss=0.3473.pt_summary.csv
left,254,124,48.82%,850,0,0.3473,evaluation_step-000850-epoch-00-loss=0.3473.pt_summary.csv
behind,249,116,46.59%,850,0,0.3473,evaluation_step-000850-epoch-00-loss=0.3473.pt_summary.csv
in front of,261,136,52.11%,850,0,0.3473,evaluation_step-000850-epoch-00-loss=0.3473.pt_summary.csv
in front of,261,137,52.49%,900,0,0.3457,evaluation_step-000900-epoch-00-loss=0.3457.pt_summary.csv
behind,249,120,48.19%,900,0,0.3457,evaluation_step-000900-epoch-00-loss=0.3457.pt_summary.csv
left,254,127,50.00%,900,0,0.3457,evaluation_step-000900-epoch-00-loss=0.3457.pt_summary.csv
right,236,126,53.39%,900,0,0.3457,evaluation_step-000900-epoch-00-loss=0.3457.pt_summary.csv
behind,249,116,46.59%,950,0,0.3376,evaluation_step-000950-epoch-00-loss=0.3376.pt_summary.csv
in front of,261,136,52.11%,950,0,0.3376,evaluation_step-000950-epoch-00-loss=0.3376.pt_summary.csv
left,254,124,48.82%,950,0,0.3376,evaluation_step-000950-epoch-00-loss=0.3376.pt_summary.csv
right,236,113,47.88%,950,0,0.3376,evaluation_step-000950-epoch-00-loss=0.3376.pt_summary.csv
left,254,127,50.00%,1000,0,0.349,evaluation_step-001000-epoch-00-loss=0.3490.pt_summary.csv
in front of,261,133,50.96%,1000,0,0.349,evaluation_step-001000-epoch-00-loss=0.3490.pt_summary.csv
right,236,124,52.54%,1000,0,0.349,evaluation_step-001000-epoch-00-loss=0.3490.pt_summary.csv
behind,249,121,48.59%,1000,0,0.349,evaluation_step-001000-epoch-00-loss=0.3490.pt_summary.csv
behind,249,120,48.19%,1050,0,0.3525,evaluation_step-001050-epoch-00-loss=0.3525.pt_summary.csv
right,236,120,50.85%,1050,0,0.3525,evaluation_step-001050-epoch-00-loss=0.3525.pt_summary.csv
left,254,121,47.64%,1050,0,0.3525,evaluation_step-001050-epoch-00-loss=0.3525.pt_summary.csv
in front of,261,139,53.26%,1050,0,0.3525,evaluation_step-001050-epoch-00-loss=0.3525.pt_summary.csv
right,236,114,48.31%,1100,0,0.3465,evaluation_step-001100-epoch-00-loss=0.3465.pt_summary.csv
left,254,130,51.18%,1100,0,0.3465,evaluation_step-001100-epoch-00-loss=0.3465.pt_summary.csv
behind,249,121,48.59%,1100,0,0.3465,evaluation_step-001100-epoch-00-loss=0.3465.pt_summary.csv
in front of,261,132,50.57%,1100,0,0.3465,evaluation_step-001100-epoch-00-loss=0.3465.pt_summary.csv
right,236,123,52.12%,1150,0,0.3505,evaluation_step-001150-epoch-00-loss=0.3505.pt_summary.csv
behind,249,133,53.41%,1150,0,0.3505,evaluation_step-001150-epoch-00-loss=0.3505.pt_summary.csv
in front of,261,126,48.28%,1150,0,0.3505,evaluation_step-001150-epoch-00-loss=0.3505.pt_summary.csv
left,254,129,50.79%,1150,0,0.3505,evaluation_step-001150-epoch-00-loss=0.3505.pt_summary.csv
right,236,113,47.88%,1200,0,0.3214,evaluation_step-001200-epoch-00-loss=0.3214.pt_summary.csv
in front of,261,136,52.11%,1200,0,0.3214,evaluation_step-001200-epoch-00-loss=0.3214.pt_summary.csv
left,254,124,48.82%,1200,0,0.3214,evaluation_step-001200-epoch-00-loss=0.3214.pt_summary.csv
behind,249,116,46.59%,1200,0,0.3214,evaluation_step-001200-epoch-00-loss=0.3214.pt_summary.csv
right,236,123,52.12%,1250,0,0.3697,evaluation_step-001250-epoch-00-loss=0.3697.pt_summary.csv
left,254,130,51.18%,1250,0,0.3697,evaluation_step-001250-epoch-00-loss=0.3697.pt_summary.csv
behind,249,133,53.41%,1250,0,0.3697,evaluation_step-001250-epoch-00-loss=0.3697.pt_summary.csv
in front of,261,125,47.89%,1250,0,0.3697,evaluation_step-001250-epoch-00-loss=0.3697.pt_summary.csv
behind,249,134,53.82%,1300,0,0.3671,evaluation_step-001300-epoch-00-loss=0.3671.pt_summary.csv
left,254,130,51.18%,1300,0,0.3671,evaluation_step-001300-epoch-00-loss=0.3671.pt_summary.csv
right,236,123,52.12%,1300,0,0.3671,evaluation_step-001300-epoch-00-loss=0.3671.pt_summary.csv
in front of,261,125,47.89%,1300,0,0.3671,evaluation_step-001300-epoch-00-loss=0.3671.pt_summary.csv
in front of,261,130,49.81%,1350,0,0.3448,evaluation_step-001350-epoch-00-loss=0.3448.pt_summary.csv
right,236,120,51.27%,1350,0,0.3448,evaluation_step-001350-epoch-00-loss=0.3448.pt_summary.csv
left,254,128,50.39%,1350,0,0.3448,evaluation_step-001350-epoch-00-loss=0.3448.pt_summary.csv
behind,249,129,51.81%,1350,0,0.3448,evaluation_step-001350-epoch-00-loss=0.3448.pt_summary.csv
in front of,261,136,52.11%,1400,0,0.3522,evaluation_step-001400-epoch-00-loss=0.3522.pt_summary.csv
behind,249,116,46.59%,1400,0,0.3522,evaluation_step-001400-epoch-00-loss=0.3522.pt_summary.csv
left,254,124,48.82%,1400,0,0.3522,evaluation_step-001400-epoch-00-loss=0.3522.pt_summary.csv
right,236,113,47.88%,1400,0,0.3522,evaluation_step-001400-epoch-00-loss=0.3522.pt_summary.csv
