idx,p_yes,rank_yes,rank_no
0,0.8778732419013977,1,2
1,0.9987104535102844,1,3
2,0.9921889305114746,1,3
3,0.9989949464797974,1,3
4,0.0007142710965126753,6,1
5,0.0001339559385087341,9,1
6,0.00032899496727623045,7,1
7,6.03997141297441e-05,10,1
8,0.011721909046173096,5,1
9,0.017499787732958794,5,1
10,0.001712045050226152,7,1
11,0.0005824016407132149,8,1
12,0.0004587348084896803,7,1
13,0.00016623432748019695,10,1
14,0.00018252099107485265,8,1
15,9.826901077758521e-05,10,1
16,0.003000251716002822,5,1
17,0.0004844058712478727,7,1
18,0.0006608909461647272,6,1
19,0.00018147809896618128,9,1
20,0.001838423777371645,6,1
21,0.0005230452516116202,6,1
22,0.0002418630465399474,7,1
23,6.16466422798112e-05,9,1
24,0.00016379558655899018,7,1
25,5.615482950815931e-05,8,1
26,9.601083002053201e-05,7,1
27,2.8985057724639773e-05,9,1
28,0.9995768666267395,1,3
29,0.9997937679290771,1,5
30,0.9117186069488525,1,3
31,0.9931290745735168,1,3
32,0.0007142710965126753,6,1
33,0.0001339559385087341,9,1
34,0.00032899496727623045,7,1
35,6.03997141297441e-05,10,1
36,0.011721909046173096,5,1
37,0.017499787732958794,5,1
38,0.001712045050226152,7,1
39,0.0005824016407132149,8,1
40,0.0004587348084896803,7,1
41,0.00016623432748019695,10,1
42,0.00018252099107485265,8,1
43,9.826901077758521e-05,10,1
44,0.003000251716002822,5,1
45,0.0004844058712478727,7,1
46,0.0006608909461647272,6,1
47,0.00018147809896618128,9,1
48,0.001838423777371645,6,1
49,0.0005230452516116202,6,1
50,0.0002418630465399474,7,1
51,6.16466422798112e-05,9,1
52,0.00016379558655899018,7,1
53,5.615482950815931e-05,8,1
54,9.601083002053201e-05,7,1
55,2.8985057724639773e-05,9,1
56,0.9361796379089355,1,3
57,0.9998664259910583,1,3
58,0.7385886907577515,2,3
59,0.9999505877494812,1,4
60,0.47157904505729675,3,2
61,0.11814563721418381,2,1
62,0.6487647294998169,2,3
63,0.8960050344467163,1,2
64,0.0028014492709189653,7,2
65,6.393521471181884e-05,9,1
66,0.0010169089073315263,7,1
67,2.3773231077939272e-05,9,1
68,0.1741458773612976,3,2
69,0.00043788913171738386,7,1
70,0.14196352660655975,3,2
71,0.0005673191626556218,7,1
72,0.1338852196931839,3,2
73,0.00022298062685877085,9,1
74,0.2478128969669342,3,2
75,0.0005241502658464015,6,1
76,0.9976249933242798,1,3
77,0.9951297640800476,1,3
78,0.9956594705581665,1,3
79,0.9972399473190308,1,3
80,0.05608713999390602,3,1
81,0.023603111505508423,4,1
82,0.3714287579059601,2,1
83,0.0037326232995837927,5,1
84,0.006241107825189829,5,1
85,0.002083398401737213,5,1
86,0.0016679230611771345,4,1
87,0.0005444912821985781,7,1
88,0.010139405727386475,5,1
89,0.004205199424177408,5,1
