idx,p_yes,rank_yes,rank_no
0,0.989151656627655,1,2
1,1.0,1,5
2,1.0,1,4
3,1.0,1,5
4,3.892565928254044e-06,3,1
5,1.0936651051451918e-06,2,1
6,1.6451623707780527e-07,4,1
7,4.1986731957877055e-07,2,1
8,1.0,1,4
9,1.0,1,5
10,1.0,1,2
11,1.0,1,5
12,7.261812129399914e-07,4,1
13,6.829053944557018e-08,5,1
14,3.262316994323555e-08,7,1
15,2.4628551642535967e-08,8,1
16,1.0,1,3
17,1.0,1,6
18,1.0,1,5
19,1.0,1,6
20,6.8309526923826525e-09,7,1
21,3.230309797430664e-09,7,1
22,3.310101304165869e-09,6,1
23,2.8902842341693713e-09,5,1
24,0.9999962449073792,1,2
25,0.999998927116394,1,2
26,0.9999955296516418,1,2
27,0.9999997615814209,1,3
28,1.7816462616337958e-07,3,1
29,2.3731628573386843e-07,3,1
30,6.501019722549017e-09,9,1
31,4.3598848975534565e-09,8,1
32,1.0,1,4
33,1.0,1,4
34,1.0,1,4
35,1.0,1,5
36,7.989573532540817e-06,5,1
37,1.9428857740422245e-06,7,1
38,6.2092391317492e-07,5,1
39,1.413512222825375e-07,4,1
40,2.1180663622999418e-07,4,1
41,8.922846461700829e-09,4,1
42,7.282979908040943e-08,3,1
43,6.587672629621011e-08,2,1
44,1.7781597705379681e-07,4,1
45,9.445211901493167e-08,3,1
46,3.357635236511669e-08,7,1
47,2.8881698810323542e-08,4,1
48,1.0,1,8
49,1.0,1,5
50,0.9999998807907104,1,3
51,0.9999998807907104,1,2
52,1.0825414875625938e-07,2,1
53,2.439734814174699e-08,4,1
54,3.638766798985671e-08,3,1
55,1.1503671792922887e-08,4,1
56,1.0,1,4
57,1.0,1,5
58,1.0,1,2
59,1.0,1,4
60,2.666199350187526e-07,7,1
61,4.662610209038576e-08,6,1
62,5.4923468439938006e-08,8,1
63,4.281433430008974e-09,9,1
64,0.9986385703086853,1,2
65,0.999998927116394,1,2
66,0.9999449849128723,1,2
67,0.9999998807907104,1,2
68,5.2120959992407734e-08,7,1
69,7.9909625583241e-09,7,1
70,2.9577551075021802e-08,9,1
71,1.1339482242078702e-08,7,1
72,1.0,1,4
73,1.0,1,4
74,1.0,1,3
75,1.0,1,4
76,1.8106942661688663e-05,3,1
77,0.013838975690305233,2,1
78,1.1703763220793917e-06,3,1
79,0.02314581908285618,2,1
80,0.9999923706054688,1,2
81,0.9999948143959045,1,2
82,0.9999588131904602,1,2
83,0.9999931454658508,1,2
84,1.668784170760773e-05,4,1
85,4.362736035545822e-06,3,1
86,4.785836154042045e-07,3,1
87,4.82795428524696e-07,3,1
88,1.0,1,3
89,1.0,1,4
90,1.0,1,4
91,1.0,1,5
92,4.5264229697750125e-07,3,1
93,6.580403066891449e-08,3,1
94,1.020966688969338e-08,9,1
95,1.2525976700317187e-08,6,1
96,1.0,1,3
97,1.0,1,5
98,1.0,1,5
99,1.0,1,6
100,6.697062872262904e-06,5,1
101,4.261077322098572e-07,5,1
102,7.309727720894443e-07,3,1
103,1.730477237060768e-07,3,1
104,1.0,1,3
105,1.0,1,6
106,1.0,1,2
107,1.0,1,6
108,1.9242996529555967e-08,10,1
109,3.990942332166014e-08,6,1
110,8.436050968896325e-09,9,1
111,1.3817525790216223e-08,9,1
112,1.0,1,4
113,1.0,1,3
114,1.0,1,3
115,1.0,1,2
116,9.361329489365744e-08,4,1
117,2.183497116448052e-07,3,1
118,3.2508740144265857e-09,10,1
119,5.830699922881877e-09,6,1
120,0.9997908473014832,1,2
121,1.0,1,4
122,1.0,1,5
123,1.0,1,4
124,5.3076327333201334e-08,8,1
125,9.54613099679591e-08,5,1
126,1.96330276480694e-07,4,1
127,2.9540457191501446e-08,7,1
128,1.0,1,5
129,1.0,1,6
130,1.0,1,2
131,1.0,1,5
132,4.321709212717906e-09,9,1
133,6.041116940025404e-09,5,1
134,5.068931496765572e-09,5,1
135,3.4479201715953423e-09,5,1
136,0.9999916553497314,1,2
137,1.0,1,5
138,1.0,1,3
139,1.0,1,6
140,1.5495272620569267e-08,4,1
141,2.0367258102282904e-08,3,1
142,2.316758784814965e-09,8,1
143,2.410951216447188e-09,6,1
144,0.9999998807907104,1,2
145,0.0009839015547186136,2,1
146,0.9999997615814209,1,2
147,0.735085666179657,1,2
148,3.733970643793327e-08,6,1
149,1.0473592659820952e-08,4,1
150,1.6709855721330769e-09,7,1
151,3.9305350085783175e-09,5,1
152,0.9999998807907104,1,2
153,1.0,1,3
154,1.0,1,4
155,1.0,1,5
156,5.551809678649988e-09,10,1
157,1.8100809739962642e-09,7,1
158,6.602736690730637e-10,11,1
159,9.775108500420515e-10,7,1
160,1.0,1,4
161,1.0,1,5
162,1.0,1,2
163,1.0,1,5
164,2.3394040908897296e-06,4,1
165,1.1248924636220181e-07,4,1
166,2.1087984691803285e-08,8,1
167,1.4499960343528073e-08,6,1
168,1.0,1,2
169,1.0,1,5
170,1.0,1,2
171,1.0,1,5
172,3.182718089078662e-08,3,1
173,2.9733151052369067e-08,2,1
174,7.187138439945784e-09,5,1
175,6.407509633987729e-09,5,1
176,1.0,1,4
177,1.0,1,5
178,1.0,1,4
179,1.0,1,4
180,1.7771392890608695e-07,3,1
181,2.2435301616496872e-06,2,1
182,2.4464265280244035e-08,8,1
183,3.618578148234519e-08,3,1
184,0.0002338841586606577,2,1
185,0.9998281002044678,1,2
186,1.0,1,5
187,1.0,1,4
188,7.2687016654526815e-06,6,1
189,7.654863054540328e-08,4,1
190,1.3201288595610094e-07,7,1
191,2.306641277982635e-08,8,1
192,1.0,1,6
193,1.0,1,7
194,1.0,1,4
195,1.0,1,6
196,6.499435301066114e-08,7,1
197,3.7357381188485306e-08,5,1
198,1.929845971915256e-08,8,1
199,4.0939363010750185e-09,7,1
200,1.0,1,3
201,0.9999998807907104,1,2
202,1.0,1,2
203,0.9999840259552002,1,2
204,5.593840768369773e-08,2,1
205,3.930847924493719e-06,2,1
206,2.016715143327019e-06,2,1
207,1.4798466736465343e-06,2,1
208,1.0,1,9
209,1.0,1,7
210,1.0,1,7
211,1.0,1,7
212,3.601777507356019e-07,3,1
213,1.253465882200544e-07,2,1
214,1.5672696918045403e-08,8,1
215,3.94568004935536e-08,2,1
216,1.0,1,5
217,0.9999999403953552,1,4
218,1.0,1,4
219,1.0,1,5
220,4.2855571535938e-08,10,1
221,1.3753632899238255e-08,8,1
222,2.6066979685879232e-08,10,1
223,9.829708602637766e-09,8,1
224,1.0,1,3
225,1.0,1,6
226,1.0,1,4
227,1.0,1,6
228,1.2413432841640315e-06,3,1
229,6.781483108397879e-08,3,1
230,6.835714572162033e-08,5,1
231,4.119694452242584e-08,5,1
232,1.0,1,5
233,0.9999990463256836,1,2
234,1.0,1,5
235,0.9999486804008484,1,2
236,5.8965397329302505e-06,5,1
237,2.6171589340151513e-08,4,1
238,4.1198995859303977e-07,3,1
239,9.600720218827519e-09,4,1
240,0.9996808171272278,1,2
241,0.9493586421012878,1,2
242,1.0,1,2
243,0.9727250933647156,1,2
244,1.506731041445164e-05,3,1
245,1.9288894748115126e-07,2,1
246,1.9008925846719649e-06,3,1
247,5.6572854845171605e-08,2,1
248,1.2293030593468757e-08,7,1
249,4.137912128499011e-06,2,1
250,1.1951389211617425e-08,7,1
251,1.030761609399633e-06,2,1
252,0.0001276767288800329,3,1
253,2.7088230126537383e-05,2,1
254,3.2469100119669747e-07,5,1
