run_name,overall,total_illegal_ratio,musical,clothing accessory,electronic device,sports equipment,home appliance,game,tool,piece of women's clothing,vehicle,animal,outerwear,piece of jewelry,farm animal,mammal,hardware item,garden tool,body part,dessert,weapon,furniture,school supply,construction equipment,container,toy,medical equipment,breakfast food,vegetable,source of light,scientific equipment,arts and crafts item,food,drink,insect,candy,item of clothing,condiment,fruit,bird,kitchen tool,home decor item,safety equipment,sea animal,watercraft,seafood,office supply item,personal hygiene item,kitchen appliance,footwear,plant,protective clothing item,car part,fastener,headwear
align-dinosiglip+1b-things+hyp-abl50-42,0.9970681100586378,0.0,0.9906542056074766,1.0,0.9823008849557522,1.0,0.9848484848484848,0.9876543209876544,1.0,1.0,1.0,0.9949494949494948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986842105263158,1.0,0.9863013698630136,0.9950738916256158,1.0,0.989010989010989,1.0,1.0,0.9891304347826086,0.9850746268656716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878048780487804,1.0,1.0,1.0,1.0
align-dinov2+1b-things+hyp-abl10-42,0.9957166896129724,0.0,1.0,0.9815668202764976,0.9933554817275748,0.9887005649717514,0.9873949579831932,0.9894736842105264,0.9919354838709676,1.0,0.9971910112359552,1.0,0.994475138121547,1.0,0.9939024390243902,1.0,0.9886039886039886,1.0,0.9921259842519684,0.9955555555555556,0.9844357976653696,1.0,0.9953271028037384,0.985981308411215,0.9923469387755102,0.9956521739130436,1.0,1.0,1.0,1.0,1.0,1.0,0.998803827751196,0.9906103286384976,0.9941520467836256,0.9902912621359224,1.0,1.0,0.995575221238938,1.0,1.0,1.0,1.0,0.9949748743718592,1.0,1.0,1.0,0.9947643979057592,0.994535519125683,1.0,0.9961538461538462,0.9741935483870968,0.9901960784313726,1.0,1.0
align-dinosiglip+1b-llama-chat-things+hyp-abl70-218,0.9975296442687748,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857144,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0
align-dinov2+500m-things+hyp-abl30cat-218,0.996873667756146,0.0,1.0,,0.9971910112359552,,,,,,1.0,1.0,,0.995049504950495,,1.0,0.995049504950495,1.0,,,0.9836601307189542,0.9963898916967509,,,,0.9927272727272728,0.9886363636363636,,,0.9957264957264956,,,,1.0,,,1.0,,,,,,,,0.9956140350877192,1.0,,0.99581589958159,,1.0,0.9966442953020134,0.9844559585492229,1.0,,1.0
align-dinov2+500m-things+hyp-abl70-7-random,0.984189723320158,0.0,0.9782608695652174,1.0,1.0,0.9887640449438202,1.0,0.9767441860465116,1.0,0.96875,0.989010989010989,1.0,0.967741935483871,1.0,1.0,1.0,0.9701492537313432,1.0,1.0,0.9166666666666666,0.94,0.9574468085106383,1.0,1.0,1.0,0.975609756097561,1.0,0.9705882352941176,1.0,1.0,1.0,1.0,0.9924812030075189,0.9285714285714286,1.0,0.96,1.0,1.0,1.0,0.9666666666666668,1.0,0.9636363636363636,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,0.8,0.975609756097561,0.9714285714285714,0.935483870967742,1.0,1.0
align-siglip+500m-things+hyp-abl70-218,0.9995059288537548,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-siglip+1b-llama-chat-things+hyp-abl30-218,0.9992690058479532,0.0,1.0,0.9929078014184396,0.9949494949494948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888888,1.0,1.0,1.0,1.0,0.9924242424242424,0.996138996138996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993103448275862,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinov2+500m-things+hyp-abl30-218-random,0.989522417153996,0.0,0.9934640522875816,0.9858156028368794,0.98989898989899,0.9758064516129032,0.9652777777777778,0.9859154929577464,0.9813084112149532,1.0,0.991869918699187,1.0,1.0,0.9883720930232558,0.9891304347826086,0.9950738916256158,0.981042654028436,1.0,0.9666666666666668,0.9934640522875816,0.9814814814814816,0.986013986013986,0.9925925925925926,0.9924242424242424,0.972972972972973,0.9626865671641792,0.9944444444444444,1.0,0.9921259842519684,1.0,0.978494623655914,0.9941520467836256,1.0,0.9855072463768116,1.0,1.0,0.9961685823754788,0.9903846153846154,0.992063492063492,0.9933774834437086,0.9611650485436892,0.9825581395348836,1.0,1.0,1.0,1.0,0.9761904761904762,0.986206896551724,1.0,1.0,0.9941176470588236,1.0,0.9541984732824428,0.9831932773109244,0.9910714285714286
align-dinov2+1b-llama-chat-things+hyp-abl10-218,0.9964815664677988,0.0,1.0,1.0,0.9933554817275748,0.9915254237288136,1.0,0.9947368421052633,0.9865591397849462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9914529914529916,0.9930555555555556,0.9921259842519684,0.9955555555555556,0.9883268482490272,1.0,1.0,0.985981308411215,0.9897959183673468,0.9869565217391304,0.990909090909091,1.0,1.0,1.0,0.995260663507109,1.0,0.998803827751196,0.9906103286384976,1.0,0.9951456310679612,1.0,1.0,1.0,1.0,0.9945054945054944,1.0,0.9846153846153848,1.0,1.0,1.0,1.0,0.9947643979057592,1.0,1.0,0.9961538461538462,0.9870967741935484,0.9950980392156864,1.0,1.0
align-dinosiglip+500m-things+hyp-abl10-7,0.997246443322625,0.0,1.0,0.9907834101382488,0.9966777408637874,0.9971751412429378,0.9957983193277312,1.0,0.9973118279569892,1.0,0.9971910112359552,1.0,1.0,1.0,1.0,0.9973753280839897,0.9971509971509972,1.0,0.968503937007874,1.0,0.9922178988326849,1.0,1.0,1.0,0.9923469387755102,0.982608695652174,0.990909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.9953051643192488,1.0,1.0,1.0,1.0,1.0,1.0,0.9945054945054944,0.9961832061068704,0.9948717948717948,1.0,1.0,1.0,1.0,0.9895287958115184,1.0,1.0,0.9961538461538462,0.9806451612903224,1.0,1.0,0.9874213836477987
