run_name,overall,total_illegal_ratio,body part,animal,clothing accessory,electronic device,home appliance,game,furniture,piece of women's clothing,car part,footwear,watercraft,vegetable,outerwear,food,weapon,piece of jewelry,farm animal,plant,garden tool,fruit,source of light,dessert,item of clothing,drink,bird,container,arts and crafts item,kitchen appliance,headwear,school supply,kitchen tool,candy,safety equipment,tool,vehicle,fastener,mammal,hardware item,musical,sports equipment,seafood,insect,office supply item,protective clothing item,medical equipment,home decor item,construction equipment,toy,condiment,personal hygiene item,breakfast food,scientific equipment,sea animal
align-dinov2+1b-things+hyp-abl20cat-shuffled-42,0.9893766285828824,0.0,1.0,0.9932885906040269,0.985663082437276,0.9945054945054944,0.9927536231884058,0.9953488372093025,0.9825174825174824,0.9728682170542636,0.9914163090128756,0.9954545454545456,0.9661016949152542,0.9899665551839464,1.0,0.9961051606621228,0.9936102236421726,0.9702970297029704,0.9954128440366972,0.9931506849315068,0.9842931937172776,0.9836065573770492,0.9957446808510638,0.9782608695652174,0.982421875,0.9925650557620818,0.989010989010989,0.9868995633187772,0.9722222222222222,1.0,0.9948717948717948,0.9737991266375546,0.9917355371900828,1.0,1.0,,,,,,,,,,,,,,,,,,,,
align-dinosiglip+1b-llama-chat-things+hyp-abl40cat-shuffled-218,0.9933774834437086,0.0,1.0,,0.996415770609319,0.9945054945054944,,,0.993006993006993,,,,,,1.0,0.994157740993184,0.9936102236421726,,,,,0.9836065573770492,,,,,,,0.9826388888888888,,,,0.9917355371900828,,,0.9936575052854124,0.9952038369304556,0.9953271028037384,,,,,,,,,,,,,,,,,
align-dinov2+1b-llama-chat-things+hyp-abl10cat-shuffled-7,0.9898791777812648,0.0,0.975,0.9932885906040269,0.996415770609319,0.9945054945054944,0.9782608695652174,0.9953488372093025,,0.9806201550387597,,0.9818181818181818,0.9957627118644068,0.9866220735785952,0.9910313901345292,0.9922103213242454,0.9968051118210862,0.9801980198019802,0.9908256880733946,0.9931506849315068,,0.9959016393442623,0.9957446808510638,,,1.0,0.989010989010989,,0.9826388888888888,0.9908256880733946,0.9897435897435898,0.9737991266375546,0.987603305785124,1.0,0.9879518072289156,0.9830866807610994,0.9904076738609112,0.985981308411215,0.9956427015250544,0.9927360774818402,0.9962406015037594,0.9901719901719902,0.9949748743718592,1.0,0.975,0.9951690821256038,0.9803149606299212,0.9896193771626296,0.9924812030075189,0.967032967032967,1.0,,,,
align-dinov2+1b-llama-things+hyp-abl30cat-shuffled-7,0.9887656427758816,0.0,,0.9919463087248322,,0.9835164835164836,,,0.986013986013986,,0.9828326180257512,0.9954545454545456,0.9788135593220338,,,,0.9936102236421726,0.99009900990099,,0.9897260273972602,0.9842931937172776,,0.9914893617021276,,0.990234375,1.0,,,,,1.0,,,,,,0.988009592326139,,0.9912854030501088,0.9903147699757868,0.9849624060150376,,0.9949748743718592,,,0.9951690821256038,0.968503937007874,,,0.989010989010989,,0.9760956175298804,,,
align-dinov2+1b-llama-things+hyp-abl30cat-shuffled-218,0.9876279863481228,0.0,,0.9879194630872484,,0.989010989010989,,,0.993006993006993,,0.9742489270386266,1.0,0.9788135593220338,,,,0.9968051118210862,0.995049504950495,,0.9931506849315068,0.9895287958115184,,0.9957446808510638,,0.984375,1.0,,,,,0.9846153846153848,,,,,,0.973621103117506,,0.9912854030501088,0.9878934624697336,0.981203007518797,,0.9798994974874372,,,0.9806763285024156,0.9803149606299212,,,0.9963369963369964,,0.9840637450199204,,,
align-dinov2+500m-things+hyp-abl50-local-shuffled-7,0.9955732625055336,0.0,1.0,1.0,1.0,0.9914529914529916,1.0,0.9743589743589745,0.9879518072289156,1.0,0.9836065573770492,1.0,1.0,1.0,1.0,0.9933993399339934,0.978494623655914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9851485148514852,1.0,1.0,1.0,1.0,1.0,0.9864864864864864,1.0,0.9906542056074766,1.0,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915966386554622,0.9866666666666668,1.0,1.0,1.0,1.0,0.9859154929577464,1.0
align-dinov2+1b-llama-chat-things+hyp-abl10-shuffled-7,0.9907989572151512,0.0,0.992248062015504,0.9935379644588044,0.9864864864864864,0.9936305732484076,0.9875518672199172,1.0,0.9878048780487804,0.986425339366516,0.9953488372093025,1.0,1.0,0.9868995633187772,1.0,0.98932384341637,1.0,0.994186046511628,0.9934640522875816,0.9921259842519684,0.9923664122137404,0.9952830188679244,0.9852941176470588,0.990990990990991,0.9953488372093025,1.0,0.9959514170040484,0.979643765903308,0.9790794979079498,0.9783783783783784,1.0,0.9705882352941176,0.9948186528497408,1.0,0.9896907216494846,0.9947229551451188,0.9916897506925209,0.9941520467836256,0.997326203208556,0.988826815642458,0.9872340425531916,0.9826589595375722,0.987012987012987,0.9939024390243902,0.9827586206896552,0.9814814814814816,0.9761904761904762,0.984313725490196,0.990950226244344,0.990990990990991,1.0,0.9805825242718448,1.0,1.0,0.9900497512437813
align-dinov2+1b-llama-things+hyp-abl70-local-shuffled-7,0.9985133795837464,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629628,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinosiglip+500m-things+hyp-abl30cat-shuffled-42,0.9950227531285551,0.0,,0.995973154362416,,0.9917582417582418,,,0.993006993006993,,0.9914163090128756,0.9954545454545456,0.9957627118644068,,,,0.9936102236421726,1.0,,0.9931506849315068,0.9947643979057592,,0.9957446808510638,,0.994140625,0.9962825278810408,,,,,1.0,,,,,,1.0,,1.0,0.9903147699757868,0.9962406015037594,,0.9899497487437184,,,0.9951690821256038,0.9921259842519684,,,0.9963369963369964,,0.9920318725099602,,,
align-dinosiglip+500m-things+hyp-abl20cat-shuffled-7,0.993185007015434,0.0,1.0,0.995973154362416,0.996415770609319,0.9972527472527472,0.9927536231884058,0.9906976744186048,0.986013986013986,0.9883720930232558,0.9957081545064378,0.9954545454545456,0.9915254237288136,0.9933110367892976,1.0,0.9951314508276532,0.9936102236421726,0.9851485148514852,0.9862385321100916,0.9931506849315068,0.9895287958115184,0.9918032786885246,1.0,0.9855072463768116,0.994140625,0.9925650557620818,0.9963369963369964,0.9912663755458516,0.9895833333333334,0.9862385321100916,1.0,0.9868995633187772,0.9917355371900828,0.9960474308300395,0.9959839357429718,,,,,,,,,,,,,,,,,,,,
