run_name,overall,total_illegal_ratio,mammal,animal,hardware item,musical,electronic device,furniture,car part,footwear,vehicle,watercraft,seafood,weapon,piece of jewelry,plant,garden tool,source of light,protective clothing item,item of clothing,drink,medical equipment,headwear,toy,personal hygiene item,game,outerwear,clothing accessory,sports equipment,insect,school supply,construction equipment,container,scientific equipment,breakfast food,food,fruit,piece of women's clothing,condiment,sea animal,home decor item,safety equipment,office supply item,fastener,arts and crafts item,vegetable,dessert,tool,candy,kitchen appliance,body part,farm animal,bird,kitchen tool,home appliance
align-dinov2+1b-things+hyp-abl30cat-218-random,0.9933210174790392,0.0,0.9979166666666668,1.0,0.9727722772277227,0.996309963099631,0.9971910112359552,0.9963898916967509,0.9955156950672646,0.9954128440366972,0.9951807228915662,0.986842105263158,1.0,0.9673202614379084,0.99009900990099,0.9966442953020134,1.0,0.9957264957264956,0.9844559585492229,1.0,0.9923076923076924,1.0,1.0,0.9854545454545456,0.99163179916318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
align-dinov2+500m-things+hyp-abl70-7-random,0.984189723320158,0.0,1.0,1.0,0.9701492537313432,0.9782608695652174,1.0,0.9574468085106383,0.935483870967742,0.8,0.989010989010989,1.0,1.0,0.94,1.0,0.975609756097561,1.0,1.0,0.9714285714285714,1.0,0.9285714285714286,1.0,1.0,0.975609756097561,0.9761904761904762,0.9767441860465116,0.967741935483871,1.0,0.9887640449438202,1.0,1.0,1.0,1.0,1.0,0.9705882352941176,0.9924812030075189,1.0,0.96875,1.0,1.0,0.9636363636363636,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.96,1.0,1.0,1.0,0.9666666666666668,1.0,1.0
align-dinov2+500m-things+hyp-abl30-218-random,0.989522417153996,0.0,0.9950738916256158,1.0,0.981042654028436,0.9934640522875816,0.98989898989899,0.986013986013986,0.9541984732824428,1.0,0.991869918699187,1.0,1.0,0.9814814814814816,0.9883720930232558,0.9941176470588236,1.0,1.0,1.0,0.9961685823754788,0.9855072463768116,0.9944444444444444,0.9910714285714286,0.9626865671641792,0.986206896551724,0.9859154929577464,1.0,0.9858156028368794,0.9758064516129032,1.0,0.9925925925925926,0.9924242424242424,0.972972972972973,0.978494623655914,1.0,1.0,0.992063492063492,1.0,0.9903846153846154,1.0,0.9825581395348836,1.0,0.9761904761904762,0.9831932773109244,0.9941520467836256,0.9921259842519684,0.9934640522875816,0.9813084112149532,1.0,1.0,0.9666666666666668,0.9891304347826086,0.9933774834437086,0.9611650485436892,0.9652777777777778
align-dinov2+1b-things+hyp-abl10-218-random,0.9944928866452502,0.0,0.9973753280839897,1.0,0.9943019943019944,0.9957446808510638,0.9966777408637874,0.99581589958159,0.9852941176470588,1.0,0.99438202247191,0.9944444444444444,1.0,0.9844357976653696,0.9940828402366864,0.9923076923076924,0.9930555555555556,1.0,0.9806451612903224,1.0,0.9906103286384976,1.0,1.0,0.9956521739130436,0.9842931937172776,0.9894736842105264,1.0,0.9861751152073732,0.9915254237288136,1.0,0.9953271028037384,0.9906542056074766,0.9872448979591836,0.990521327014218,1.0,0.9964114832535884,0.991150442477876,0.9907834101382488,1.0,0.9949748743718592,0.9923664122137404,0.9948717948717948,1.0,0.9941176470588236,0.9959514170040484,0.9956331877729258,0.9955555555555556,0.9919354838709676,1.0,1.0,0.984251968503937,0.9939024390243902,1.0,0.9835164835164836,0.9957983193277312
align-dinov2+1b-things+hyp-abl10cat-7-random,0.9948340638697558,0.0,0.9979166666666668,1.0,0.99009900990099,0.996309963099631,0.9971910112359552,,,0.9908256880733946,1.0,0.9956140350877192,1.0,0.9836601307189542,1.0,0.9966442953020134,,0.9957264957264956,0.9844559585492229,,0.9961538461538462,0.9962121212121212,1.0,0.9963636363636365,,0.976303317535545,1.0,0.9782608695652174,0.9975728155339806,1.0,0.9959183673469388,0.9885057471264368,,,,0.9990176817288802,0.9961089494163424,0.9960474308300395,1.0,,0.9897260273972602,0.984251968503937,0.9948717948717948,0.9951219512195122,0.9897959183673468,1.0,,0.9978260869565218,0.9918032786885246,0.9953488372093025,0.981132075471698,1.0,1.0,0.9912280701754386,0.989010989010989
align-siglip+500m-things+hyp-abl90-42-random,0.9878048780487804,0.0,,1.0,0.9333333333333332,0.9583333333333334,1.0,1.0,1.0,1.0,0.9166666666666666,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-siglip+1b-things+hyp-abl90-42-random,0.991869918699187,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.9285714285714286,1.0,1.0,1.0,,0.9,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0
align-dinov2+500m-things+hyp-abl10cat-42-random,0.9925641828428304,0.0,0.9979166666666668,1.0,0.9851485148514852,0.985239852398524,0.9915730337078652,,,1.0,0.9951807228915662,1.0,1.0,0.9803921568627452,0.9851485148514852,0.9865771812080536,,0.9957264957264956,0.9792746113989638,,0.9961538461538462,0.9924242424242424,0.9948717948717948,0.9927272727272728,,0.985781990521327,1.0,0.9927536231884058,0.9902912621359224,1.0,0.9959183673469388,0.9770114942528736,,,,1.0,1.0,0.9920948616600792,1.0,,0.9931506849315068,0.9763779527559056,0.9948717948717948,0.9804878048780488,0.9829931972789115,0.993127147766323,,0.991304347826087,0.9959016393442623,1.0,0.9937106918238994,0.9956140350877192,1.0,0.9780701754385964,0.9816849816849816
align-dinov2+500m-things+hyp-abl50-7-random,0.9871447902571042,0.0,1.0,0.9949494949494948,0.9669421487603306,1.0,0.9557522123893806,0.986842105263158,0.984375,0.9534883720930232,0.9936708860759492,1.0,1.0,0.956043956043956,1.0,1.0,1.0,1.0,1.0,0.9928057553956836,0.9886363636363636,0.989010989010989,0.8235294117647058,0.9789473684210528,1.0,0.9753086419753086,1.0,0.9722222222222222,0.9855072463768116,1.0,1.0,0.958904109589041,0.9802955665024632,0.9701492537313432,1.0,0.99645390070922,1.0,1.0,1.0,1.0,0.9824561403508772,1.0,0.9814814814814816,1.0,1.0,1.0,0.9866666666666668,0.9714285714285714,1.0,0.9772727272727272,1.0,1.0,0.9855072463768116,0.9661016949152542,0.9545454545454546
align-dinov2+1b-things+hyp-abl20cat-7-random,0.9947037074048166,0.0,,1.0,,,0.9887640449438202,1.0,0.9910313901345292,0.9954128440366972,,0.9956140350877192,,0.977124183006536,1.0,0.9966442953020134,0.995049504950495,0.9957264957264956,,0.9980544747081712,0.9884615384615384,,1.0,,,0.985781990521327,1.0,0.9818840579710144,,,0.9959183673469388,,0.9912854030501088,,,1.0,0.9922178988326849,1.0,,,,0.9960629921259844,,,0.9897959183673468,1.0,1.0,,0.9918032786885246,0.9906976744186048,0.9874213836477987,0.9956140350877192,1.0,0.9912280701754386,0.989010989010989
align-dinov2+1b-things+hyp-abl40cat-218-random,0.9937527889335118,0.0,,,,,0.9971910112359552,0.9963898916967509,,,0.9975903614457832,,,0.9738562091503268,,,,,,,,,,,,,1.0,0.9818840579710144,,,,,,,,0.9990176817288802,0.9883268482490272,,,,,,,0.9951219512195122,0.9931972789115646,,,0.9934782608695653,,,0.9874213836477987,,,1.0,
align-dinov2+500m-things+hyp-abl40cat-42-random,0.9930834448906738,0.0,,,,,0.9887640449438202,1.0,,,0.9927710843373494,,,0.9901960784313726,,,,,,,,,,,,,1.0,0.9855072463768116,,,,,,,,0.9990176817288802,0.9883268482490272,,,,,,,0.9853658536585366,0.9897959183673468,,,0.9934782608695653,,,0.9874213836477987,,,0.9912280701754386,
align-dinov2+1b-things+hyp-abl30cat-7-random,0.9920420633792808,0.0,1.0,0.9949431099873578,0.9801980198019802,1.0,0.99438202247191,0.9963898916967509,0.9820627802690582,1.0,0.9927710843373494,0.9956140350877192,1.0,0.9738562091503268,0.9801980198019802,0.9899328859060402,0.995049504950495,0.9957264957264956,0.9896373056994818,0.9961089494163424,0.9961538461538462,0.9962121212121212,0.9948717948717948,0.9672727272727272,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
